source_file,method,output_file,n_rows,n_cols
sim_mar_r10pct_rep001.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep001.csv,814,12
sim_mar_r10pct_rep001.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep001.csv,1500,12
sim_mar_r10pct_rep001.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep001.csv,1500,12
sim_mar_r10pct_rep001.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep001.csv,1500,12
sim_mar_r10pct_rep001.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep001.csv,15000,12
sim_mar_r10pct_rep002.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep002.csv,827,12
sim_mar_r10pct_rep002.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep002.csv,1500,12
sim_mar_r10pct_rep002.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep002.csv,1500,12
sim_mar_r10pct_rep002.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep002.csv,1500,12
sim_mar_r10pct_rep002.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep002.csv,15000,12
sim_mar_r10pct_rep003.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep003.csv,814,12
sim_mar_r10pct_rep003.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep003.csv,1500,12
sim_mar_r10pct_rep003.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep003.csv,1500,12
sim_mar_r10pct_rep003.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep003.csv,1500,12
sim_mar_r10pct_rep003.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep003.csv,15000,12
sim_mar_r10pct_rep004.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep004.csv,818,12
sim_mar_r10pct_rep004.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep004.csv,1500,12
sim_mar_r10pct_rep004.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep004.csv,1500,12
sim_mar_r10pct_rep004.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep004.csv,1500,12
sim_mar_r10pct_rep004.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep004.csv,15000,12
sim_mar_r10pct_rep005.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep005.csv,814,12
sim_mar_r10pct_rep005.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep005.csv,1500,12
sim_mar_r10pct_rep005.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep005.csv,1500,12
sim_mar_r10pct_rep005.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep005.csv,1500,12
sim_mar_r10pct_rep005.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep005.csv,15000,12
sim_mar_r10pct_rep006.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep006.csv,804,12
sim_mar_r10pct_rep006.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep006.csv,1500,12
sim_mar_r10pct_rep006.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep006.csv,1500,12
sim_mar_r10pct_rep006.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep006.csv,1500,12
sim_mar_r10pct_rep006.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep006.csv,15000,12
sim_mar_r10pct_rep007.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep007.csv,810,12
sim_mar_r10pct_rep007.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep007.csv,1500,12
sim_mar_r10pct_rep007.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep007.csv,1500,12
sim_mar_r10pct_rep007.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep007.csv,1500,12
sim_mar_r10pct_rep007.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep007.csv,15000,12
sim_mar_r10pct_rep008.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep008.csv,813,12
sim_mar_r10pct_rep008.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep008.csv,1500,12
sim_mar_r10pct_rep008.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep008.csv,1500,12
sim_mar_r10pct_rep008.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep008.csv,1500,12
sim_mar_r10pct_rep008.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep008.csv,15000,12
sim_mar_r10pct_rep009.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep009.csv,831,12
sim_mar_r10pct_rep009.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep009.csv,1500,12
sim_mar_r10pct_rep009.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep009.csv,1500,12
sim_mar_r10pct_rep009.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep009.csv,1500,12
sim_mar_r10pct_rep009.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep009.csv,15000,12
sim_mar_r10pct_rep010.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep010.csv,824,12
sim_mar_r10pct_rep010.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep010.csv,1500,12
sim_mar_r10pct_rep010.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep010.csv,1500,12
sim_mar_r10pct_rep010.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep010.csv,1500,12
sim_mar_r10pct_rep010.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep010.csv,15000,12
sim_mar_r10pct_rep011.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep011.csv,827,12
sim_mar_r10pct_rep011.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep011.csv,1500,12
sim_mar_r10pct_rep011.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep011.csv,1500,12
sim_mar_r10pct_rep011.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep011.csv,1500,12
sim_mar_r10pct_rep011.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep011.csv,15000,12
sim_mar_r10pct_rep012.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep012.csv,820,12
sim_mar_r10pct_rep012.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep012.csv,1500,12
sim_mar_r10pct_rep012.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep012.csv,1500,12
sim_mar_r10pct_rep012.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep012.csv,1500,12
sim_mar_r10pct_rep012.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep012.csv,15000,12
sim_mar_r10pct_rep013.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep013.csv,828,12
sim_mar_r10pct_rep013.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep013.csv,1500,12
sim_mar_r10pct_rep013.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep013.csv,1500,12
sim_mar_r10pct_rep013.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep013.csv,1500,12
sim_mar_r10pct_rep013.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep013.csv,15000,12
sim_mar_r10pct_rep014.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep014.csv,806,12
sim_mar_r10pct_rep014.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep014.csv,1500,12
