mechanism,missing_rate,repetition,method,variable,metric,value,note
MAR,0.1,1,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,1,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,2,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,3,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,4,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,5,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,6,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,7,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,bmi,rmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,income_ratio,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,income_ratio,rmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,sex,pfc,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,smoking_status,pfc,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,systolic_bp,nrmse,,not estimable: complete-case output drops rows
MAR,0.1,8,complete_case,systolic_bp,rmse,,not estimable: complete-case output drops rows
MAR,0.2,1,complete_case,age,nrmse,,not estimable: complete-case output drops rows
MAR,0.2,1,complete_case,age,rmse,,not estimable: complete-case output drops rows
MAR,0.2,1,complete_case,bmi,nrmse,,not estimable: complete-case output drops rows
