method,mechanism,missing_rate,variable,metric,mean_value,sd_value,n_repetitions
complete_case,MAR,0.1,age,nrmse,,,0
knn,MAR,0.1,age,nrmse,1.0775746730485036,0.1203101373696383,8
mean_mode,MAR,0.1,age,nrmse,1.0866298592671377,0.062017025090410294,8
mice,MAR,0.1,age,nrmse,1.2944917841877837,0.1242822988714685,8
missforest,MAR,0.1,age,nrmse,0.8938046394641804,0.0536770503030655,8
complete_case,MAR,0.2,age,nrmse,,,0
knn,MAR,0.2,age,nrmse,1.0915135154596671,0.06475625925840567,8
mean_mode,MAR,0.2,age,nrmse,1.0754967420035,0.04091501431203011,8
mice,MAR,0.2,age,nrmse,1.2880241935490937,0.1138977784342298,8
missforest,MAR,0.2,age,nrmse,0.9240406080907765,0.05085434771441158,8
complete_case,MAR,0.3,age,nrmse,,,0
knn,MAR,0.3,age,nrmse,1.1158426551628462,0.05219592367940573,8
mean_mode,MAR,0.3,age,nrmse,1.068609252251843,0.016858824383151907,8
mice,MAR,0.3,age,nrmse,1.2971837044032224,0.042366155935315265,8
missforest,MAR,0.3,age,nrmse,0.9212507910374274,0.03125268281303715,8
complete_case,MCAR,0.1,age,nrmse,,,0
knn,MCAR,0.1,age,nrmse,1.0337530924242797,0.061600907779398396,8
mean_mode,MCAR,0.1,age,nrmse,1.0009789753798797,0.005313105070216293,8
mice,MCAR,0.1,age,nrmse,1.1897976875982792,0.10635582721143733,8
missforest,MCAR,0.1,age,nrmse,0.8306339439742808,0.05733175037919354,8
complete_case,MCAR,0.2,age,nrmse,,,0
knn,MCAR,0.2,age,nrmse,1.0712054794436214,0.06793499283072328,8
mean_mode,MCAR,0.2,age,nrmse,1.0034248800712466,0.008141146241291123,8
mice,MCAR,0.2,age,nrmse,1.2684527396681897,0.0670084982289551,8
missforest,MCAR,0.2,age,nrmse,0.8351817279649282,0.03237305438034296,8
complete_case,MCAR,0.3,age,nrmse,,,0
knn,MCAR,0.3,age,nrmse,1.0840101034574017,0.03558237090817431,8
mean_mode,MCAR,0.3,age,nrmse,1.0006243187384012,0.002739478547238929,8
mice,MCAR,0.3,age,nrmse,1.2640709645368313,0.07225826676343118,8
