method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
complete_case,MAR,0.1,(Intercept),0.25227803573687024,0.39754521893353945,0.3203590875195759,0.875,1.2586260966397478,8
knn,MAR,0.1,(Intercept),-3.3821519500670805e-4,0.11007205398561123,0.2664656439341596,1,1.0458008270784045,8
mean_mode,MAR,0.1,(Intercept),-0.037130777008328786,0.1181002481893257,0.27113300827192327,1,1.0641188864448705,8
mice,MAR,0.1,(Intercept),0.0577094915751194,0.1393894175851744,0.2861712681857633,1,1.133629837704619,8
missforest,MAR,0.1,(Intercept),-0.06570001209893972,0.12442298261299618,0.2646244186855278,1,1.0385745488256903,8
complete_case,MAR,0.2,(Intercept),0.26729939572872513,0.27959860244876034,0.473645503680948,1,1.8646484336521074,8
knn,MAR,0.2,(Intercept),0.04878955943356178,0.12665383291875126,0.27941481175897126,1,1.0966225773844636,8
mean_mode,MAR,0.2,(Intercept),-0.14195474312737139,0.11858219065692242,0.29005048212627077,1,1.138364517179912,8
mice,MAR,0.2,(Intercept),0.1387011232832922,0.14786770346946498,0.2870407498748532,1,1.1360707078573586,8
missforest,MAR,0.2,(Intercept),-0.027247973007949844,0.08279449956151193,0.2777484575005802,1,1.0900826173509606,8
complete_case,MAR,0.3,(Intercept),0.5166287976973172,0.31272306599804917,0.6292961038590774,1,2.4897596649494202,8
knn,MAR,0.3,(Intercept),0.0058430415035189975,0.25742351629865023,0.2931809623782405,1,1.1506507496124556,8
mean_mode,MAR,0.3,(Intercept),-0.2168789842892131,0.16579505961883312,0.31193645222304955,1,1.2242606398120661,8
mice,MAR,0.3,(Intercept),0.21275923035420935,0.22995059031109627,0.3252853575153011,0.875,1.312058644945306,8
missforest,MAR,0.3,(Intercept),-0.08391412880189647,0.27757652332119126,0.2898441472047345,1,1.1375547121018093,8
complete_case,MCAR,0.1,(Intercept),0.058963092295150676,0.1574169615921597,0.36480322621794475,1,1.4333651485797936,8
knn,MCAR,0.1,(Intercept),-0.015853798403538455,0.10633905741056435,0.26197118246139767,1,1.0281613616070215,8
mean_mode,MCAR,0.1,(Intercept),-0.08582354816707083,0.11386870493005989,0.26836794491296645,1,1.0532668099631617,8
mice,MCAR,0.1,(Intercept),0.041832824175093486,0.16351440410555654,0.26743962639395213,1,1.052096100856608,8
missforest,MCAR,0.1,(Intercept),-0.04052817166102196,0.1473668210335425,0.26265900404058007,1,1.0308608629977862,8
complete_case,MCAR,0.2,(Intercept),0.06849453883330509,0.7361590962825885,0.5033099614584737,0.875,1.9823109674706014,8
knn,MCAR,0.2,(Intercept),-0.009583100254208166,0.18072486128395018,0.27772267784683335,1,1.0899814396425993,8
mean_mode,MCAR,0.2,(Intercept),-0.20130061449369946,0.14906976031858443,0.289316353743215,1,1.135483274934772,8
mice,MCAR,0.2,(Intercept),0.09771696552953413,0.19495620710974196,0.2896482344407183,1,1.1479765057295253,8
missforest,MCAR,0.2,(Intercept),-0.08007274539342973,0.13054079419363004,0.2751966918390171,1,1.0800676728351406,8
complete_case,MCAR,0.3,(Intercept),-0.08804091798218833,0.5962752544120662,0.8505391622830418,1,3.3721371175758903,8
knn,MCAR,0.3,(Intercept),0.0020352343144654506,0.2861862529649321,0.2916320158032558,1,1.144571580886226,8
mean_mode,MCAR,0.3,(Intercept),-0.2482111434014307,0.21638302432543144,0.3151119362998055,1,1.2367234992817326,8
mice,MCAR,0.3,(Intercept),0.1316636134620765,0.2515334475516463,0.3227065899303806,1,1.2991510818026808,8
missforest,MCAR,0.3,(Intercept),-0.12033120348457138,0.29290065512440094,0.2893733096686886,0.875,1.1357068105211536,8
complete_case,MAR,0.1,age,1.4008555173836666e-4,0.0027987900990144136,0.0027048506195740778,1,0.010626810083302544,8
knn,MAR,0.1,age,-0.001635350723647923,6.65761281674875e-4,0.0022387550784093023,1,0.008786468221790465,8
mean_mode,MAR,0.1,age,-0.0018064371861040652,8.263640888117399e-4,0.0022392507320671776,1,0.008788413519494503,8
mice,MAR,0.1,age,-0.0013130549937776215,7.527647918518731e-4,0.0023309884109148672,1,0.009189285768878598,8
missforest,MAR,0.1,age,-3.2298547586235996e-4,7.518229196032829e-4,0.0022750596564460467,1,0.008928953223522775,8
complete_case,MAR,0.2,age,0.0034149082735837476,0.0032600765934339914,0.004038621777701414,1,0.01589928710663768,8
knn,MAR,0.2,age,-0.0012982648878820252,0.0010952768478655157,0.002334606234280407,1,0.009162656373502776,8
mean_mode,MAR,0.2,age,-0.001493250346542401,7.137210746594861e-4,0.0023583790814307426,1,0.009255957944559991,8
