var1,var2,n_both_missing,pct_both_missing
income_ratio,income_ratio,387,19.35
systolic_bp,systolic_bp,210,10.5
hba1c,hba1c,192,9.6
bmi,bmi,141,7.05
hba1c,systolic_bp,119,5.95
systolic_bp,hba1c,119,5.95
bmi,systolic_bp,118,5.9
systolic_bp,bmi,118,5.9
bmi,hba1c,116,5.8
hba1c,bmi,116,5.8
income_ratio,systolic_bp,78,3.9
systolic_bp,income_ratio,78,3.9
hba1c,income_ratio,67,3.35
income_ratio,hba1c,67,3.35
bmi,income_ratio,60,3
income_ratio,bmi,60,3
age,age,0,0
age,bmi,0,0
age,hba1c,0,0
age,income_ratio,0,0
age,sex,0,0
age,smoking_status,0,0
age,systolic_bp,0,0
bmi,age,0,0
bmi,sex,0,0
bmi,smoking_status,0,0
hba1c,age,0,0
hba1c,sex,0,0
hba1c,smoking_status,0,0
income_ratio,age,0,0
income_ratio,sex,0,0
income_ratio,smoking_status,0,0
sex,age,0,0
sex,bmi,0,0
sex,hba1c,0,0
sex,income_ratio,0,0
sex,sex,0,0
sex,smoking_status,0,0
sex,systolic_bp,0,0
smoking_status,age,0,0
smoking_status,bmi,0,0
smoking_status,hba1c,0,0
smoking_status,income_ratio,0,0
smoking_status,sex,0,0
smoking_status,smoking_status,0,0
smoking_status,systolic_bp,0,0
systolic_bp,age,0,0
systolic_bp,sex,0,0
systolic_bp,smoking_status,0,0
